age;workclass;education;education-num;marital-status;occupation;relationship;race;sex;hours-per-week;native-country;capital_gain_bin;capital_loss_bin;income
18;2;1;7;4;5;3;4;1;16;38;0;0;0
66;1;8;11;6;9;1;4;0;20;38;0;0;0
27;2;11;9;4;7;1;4;1;40;38;0;1;0
28;5;11;9;2;10;0;4;1;40;38;0;0;0
51;2;15;10;2;11;0;4;1;40;38;0;1;1
27;2;9;13;4;2;1;4;1;50;38;0;0;0
28;5;9;13;2;9;0;4;1;40;38;0;0;1
27;2;11;9;3;11;4;4;0;25;38;0;0;0
21;2;11;9;4;2;3;2;1;40;38;0;0;0
34;2;11;9;4;5;1;2;1;40;38;0;0;0
18;2;11;9;4;7;3;4;1;12;38;0;0;0
33;2;9;13;2;9;0;4;1;65;38;0;0;0
44;1;15;10;2;3;0;2;1;38;38;0;0;1
43;2;15;10;0;0;1;4;0;40;38;0;0;0
30;2;15;10;4;2;1;2;1;45;38;0;0;0
40;2;5;4;2;6;0;4;1;40;25;0;0;1
37;0;15;10;2;0;0;4;1;42;38;0;0;1
34;2;11;9;2;0;0;2;1;40;38;0;0;0
41;4;9;13;0;3;1;4;0;40;38;0;0;0
31;2;12;14;2;9;5;4;0;50;38;0;0;0
58;5;10;16;2;9;0;4;1;1;38;0;0;1
38;2;15;10;0;6;1;2;0;28;38;0;0;0
24;2;15;10;2;6;0;4;1;40;38;0;0;0
41;1;9;13;2;2;0;2;1;40;38;0;0;0
47;2;15;10;2;12;0;4;1;45;38;0;0;0
41;0;9;13;2;12;0;4;1;24;38;0;0;0
23;2;4;3;2;13;2;4;1;40;25;0;0;0
36;2;15;10;0;2;1;4;1;40;38;0;0;0
40;0;12;14;4;3;1;4;0;55;38;1;0;1
35;2;12;14;2;9;2;4;1;40;38;1;0;1
24;4;11;9;4;11;1;4;1;40;38;0;0;0
26;2;12;14;4;9;1;4;0;40;38;0;1;0
51;2;9;13;2;3;0;4;1;50;38;0;0;1
42;1;15;10;4;9;1;4;0;40;38;0;1;0
37;5;11;9;0;0;4;4;0;35;38;0;0;0
18;2;1;7;4;11;3;4;0;40;38;0;0;0
36;2;9;13;2;7;0;2;1;36;38;1;0;1
35;2;11;9;0;2;1;4;1;60;38;0;0;0
58;3;11;9;2;11;5;4;0;35;38;1;0;1
17;2;1;7;4;11;3;4;0;12;38;0;0;0
44;1;11;9;2;13;0;2;1;40;38;0;0;0
37;2;11;9;2;2;0;4;1;40;38;0;0;1
35;2;15;10;4;11;1;0;0;40;38;0;0;0
60;2;11;9;2;2;0;1;1;40;38;0;0;0
54;3;5;4;2;6;0;4;1;40;38;0;0;1
37;2;9;13;4;3;1;2;1;60;38;0;0;1
50;2;7;12;0;11;1;4;0;40;38;0;0;0
38;2;9;13;2;11;0;4;1;50;30;0;0;0
45;2;9;13;2;9;0;4;1;55;38;0;0;0
25;2;0;6;4;2;1;4;1;40;38;0;0;0
31;2;15;10;2;5;0;4;1;40;38;0;0;0
90;2;11;9;4;7;1;2;1;40;38;0;1;0
54;2;11;9;2;0;0;2;1;20;38;0;0;0
53;1;13;1;4;6;1;4;0;35;38;0;0;0
18;2;11;9;4;11;3;4;0;40;38;0;0;0
66;4;11;9;2;4;0;4;1;50;38;1;0;0
75;2;8;11;6;0;1;4;0;20;3;0;0;0
65;2;11;9;0;0;1;4;0;40;38;0;0;0
35;2;1;7;5;13;1;2;1;40;38;1;0;0
41;2;11;9;0;11;4;2;0;38;38;0;0;0
25;2;15;10;4;0;1;4;1;42;38;0;0;0
33;2;15;10;0;2;2;3;0;40;38;0;0;0
28;2;14;15;4;9;1;4;1;55;38;0;0;1
59;5;11;9;2;7;0;4;1;40;38;0;0;0
40;5;15;10;4;0;1;4;0;38;38;0;0;0
41;2;9;13;2;3;0;4;1;50;19;0;0;1
38;1;12;14;2;3;0;4;1;70;38;0;0;1
23;2;11;9;4;13;3;4;1;40;38;0;0;0
40;2;9;13;2;9;0;4;1;40;38;0;0;1
41;4;11;9;2;7;5;4;0;20;38;0;0;0
24;5;7;12;2;10;0;4;1;50;38;0;0;0
38;2;15;10;0;2;1;4;1;40;38;0;1;0
58;2;11;9;2;0;0;4;1;45;38;0;0;1
32;2;11;9;4;7;1;4;0;34;38;0;0;0
40;2;7;12;2;12;0;4;1;60;38;0;1;1
41;2;14;15;2;9;5;4;0;40;38;0;0;1
42;2;9;13;2;0;5;2;0;40;38;0;0;0
59;1;0;6;6;7;4;2;0;30;38;0;0;0
19;1;15;10;4;0;3;4;1;40;38;0;0;0
58;2;15;10;4;13;1;4;1;20;38;0;0;0
42;4;11;9;2;4;0;1;1;40;0;0;0;1
20;2;11;9;4;7;3;4;0;40;38;0;0;0
32;2;11;9;5;7;1;4;0;30;38;0;0;0
45;2;8;11;6;3;1;4;0;45;38;0;0;0
50;2;5;4;0;2;1;4;1;40;38;0;0;0
36;2;9;13;0;9;3;4;0;40;38;0;0;0
45;2;11;9;2;11;0;4;1;60;38;0;0;0
17;2;1;7;4;7;3;4;1;12;38;0;0;0
59;2;15;10;2;11;0;4;1;40;38;1;0;0
26;2;1;7;2;2;0;4;1;40;38;0;0;0
37;3;15;10;2;3;0;1;1;75;36;0;0;1
64;2;11;9;2;3;0;4;1;40;38;0;0;1
33;2;9;13;4;9;1;4;0;45;38;0;0;0
33;2;11;9;2;2;5;4;0;40;38;0;0;1
61;2;11;9;2;3;0;4;1;40;38;0;0;1
17;2;6;5;4;7;3;4;1;24;38;1;0;0
50;4;12;14;2;4;0;4;1;98;38;1;0;0
27;1;12;14;4;9;3;4;1;35;38;0;0;0
30;2;11;9;0;9;3;4;0;40;38;0;0;0
43;2;11;9;2;5;0;2;1;40;38;0;0;0
44;2;15;10;2;2;0;4;1;40;38;1;0;1
35;2;15;10;4;3;1;4;0;40;38;0;0;0
25;2;15;10;4;12;3;4;0;40;38;0;0;0
24;2;15;10;2;6;5;4;0;48;38;1;0;1
22;2;9;13;4;9;1;4;0;15;10;0;0;0
42;1;15;10;2;2;0;4;1;40;38;1;0;1
34;2;7;12;0;11;4;2;0;45;38;0;0;0
60;2;9;13;0;9;1;4;0;42;38;0;0;0
21;2;11;9;4;5;3;4;1;40;38;0;0;0
57;0;12;14;2;11;0;4;1;40;38;1;0;1
41;2;14;15;2;9;0;4;1;60;38;0;0;1
50;2;15;10;0;7;1;4;1;45;38;0;0;0
25;2;9;13;4;3;1;4;0;40;38;0;0;0
50;2;5;4;2;2;0;4;1;40;6;0;0;0
36;2;9;13;2;9;0;4;1;45;38;0;0;0
31;2;11;9;0;9;1;4;0;40;38;0;0;0
29;1;9;13;4;10;1;4;1;56;38;0;0;0
21;2;15;10;4;11;3;4;1;45;38;0;0;0
27;2;9;13;4;12;4;2;0;40;38;0;0;0
65;2;11;9;2;13;0;4;1;16;38;0;0;0
37;3;9;13;0;11;1;4;0;60;38;0;0;0
24;2;11;9;4;2;3;4;1;40;38;0;0;0
38;2;11;9;0;11;1;4;1;80;38;0;0;0
48;2;9;13;2;0;0;4;1;40;38;1;0;1
21;2;15;10;4;7;1;1;0;25;38;0;0;0
31;2;11;9;2;13;0;4;1;45;38;0;0;1
55;2;11;9;2;11;0;4;1;40;38;1;0;1
24;2;15;10;2;0;5;1;0;40;24;0;0;0
43;2;11;9;0;0;1;4;0;40;38;0;0;0
26;2;7;12;4;12;1;4;1;45;38;0;0;0
46;2;7;12;4;9;1;4;0;33;38;0;0;0
35;2;7;12;2;0;0;4;1;40;38;0;0;1
41;3;15;10;2;4;0;4;1;54;38;0;0;1
26;2;9;13;4;11;1;4;1;40;38;0;0;0
34;2;12;14;2;3;0;1;1;35;35;1;0;1
36;4;9;13;0;9;1;2;0;40;38;0;0;1
22;2;15;10;4;11;3;4;1;15;38;0;0;0
24;2;15;10;4;6;1;4;1;40;38;0;0;0
77;4;15;10;2;11;0;4;1;40;38;0;0;0
22;2;4;3;2;6;2;4;0;40;25;0;0;0
29;2;15;10;4;12;1;4;0;40;38;0;0;0
62;2;11;9;6;7;1;4;0;24;38;0;0;0
39;4;11;9;2;3;0;4;1;40;38;0;0;0
43;2;15;10;2;2;0;4;1;50;38;0;1;0
35;2;11;9;0;13;1;4;1;45;38;0;0;0
29;2;1;7;4;3;1;4;0;40;38;0;0;0
76;4;12;14;2;2;0;4;1;10;38;0;0;0
63;4;11;9;2;4;0;4;1;45;38;0;0;0
43;2;15;10;2;9;5;4;0;50;38;0;1;1
58;4;11;9;2;5;0;4;1;40;38;0;0;0
66;2;11;9;4;13;1;4;1;55;38;1;0;0
41;2;15;10;4;2;1;2;1;45;38;0;0;0
26;2;9;13;4;0;1;4;1;40;38;0;0;0
47;2;8;11;4;7;1;4;1;40;38;0;0;0
55;1;0;6;2;0;0;4;1;40;38;0;0;0
53;2;11;9;2;13;0;4;1;40;38;0;0;0
17;2;4;3;4;7;2;4;1;48;25;0;0;0
30;2;11;9;4;2;2;4;1;40;38;0;0;0
49;2;12;14;4;9;1;4;1;60;38;0;0;0
19;2;11;9;4;11;4;2;1;30;13;0;0;0
45;2;11;9;2;7;0;2;1;40;38;0;0;0
26;2;7;12;4;11;1;4;1;40;38;0;0;0
38;2;8;11;2;2;0;4;1;40;38;1;0;1
36;5;11;9;2;10;0;4;1;40;38;1;0;1
33;2;11;9;4;4;1;4;1;20;38;0;0;0
22;5;15;10;4;10;3;2;0;40;38;0;0;0
43;4;9;13;4;11;1;4;1;42;38;0;0;0
56;2;7;12;3;7;1;4;1;25;19;0;0;0
31;2;9;13;4;9;3;4;1;25;38;0;0;0
33;2;9;13;2;3;0;4;1;40;38;0;0;1
26;2;11;9;2;7;0;4;1;40;38;0;0;0
33;2;9;13;2;3;0;4;1;40;38;0;0;1
46;1;1;7;2;13;0;4;1;30;38;0;0;0
38;0;11;9;2;0;0;4;1;40;38;0;0;1
65;2;1;7;6;7;4;3;1;40;38;0;0;0
40;2;8;11;2;12;0;4;1;40;38;0;0;1
42;2;11;9;2;0;5;4;0;35;38;0;0;0
26;4;6;5;2;2;0;4;1;40;31;0;0;0
36;2;0;6;2;7;5;4;0;24;38;0;0;0
62;2;12;14;2;9;0;4;1;40;38;0;0;1
43;2;9;13;2;13;0;4;1;45;38;0;0;0
43;2;9;13;0;3;1;4;1;45;38;0;1;1
22;2;11;9;3;11;1;4;1;55;38;0;0;0
28;2;11;9;2;2;0;4;1;40;38;0;0;0
56;4;15;10;2;11;0;4;1;45;38;0;0;0
22;2;7;12;4;11;1;4;0;15;38;0;0;0
57;2;9;13;0;3;1;4;0;45;38;0;0;1
39;2;11;9;0;11;4;4;0;40;38;0;0;0
26;0;15;10;4;0;4;4;0;15;38;0;0;0
17;2;1;7;4;7;3;4;1;10;38;0;0;0
40;5;8;11;2;6;0;4;1;38;38;0;0;1
45;2;11;9;2;6;0;2;1;40;38;0;0;0
44;2;11;9;4;2;1;2;1;40;38;0;0;0
20;1;15;10;4;0;3;4;0;10;38;0;0;0
33;2;11;9;2;2;5;4;0;40;38;0;0;0
23;2;15;10;4;11;1;4;1;40;38;0;0;0
46;4;12;14;0;3;1;4;1;30;38;0;0;0
38;2;11;9;2;11;0;4;1;50;38;0;0;0
54;2;11;9;0;13;1;4;1;40;38;0;0;0
46;2;4;3;0;2;1;4;0;45;38;0;1;0
25;2;15;10;2;2;0;4;1;40;38;0;0;0
46;2;15;10;0;11;1;4;0;40;38;0;0;0
36;1;15;10;2;13;5;4;0;40;38;0;0;0
23;2;11;9;4;7;1;4;0;25;38;0;0;0
29;2;11;9;5;6;1;4;1;40;38;0;0;0
44;2;15;10;2;0;5;4;0;6;38;0;1;1
19;2;15;10;4;0;3;4;0;16;38;0;0;0
19;2;11;9;4;7;2;4;0;40;38;0;0;0
35;2;11;9;2;7;5;4;0;40;38;0;0;1
27;2;9;13;4;2;1;4;1;50;38;0;0;0
46;4;7;12;5;2;1;4;1;40;38;0;0;0
34;2;11;9;4;7;1;4;0;35;38;0;0;0
44;2;15;10;2;12;0;4;1;40;38;0;0;0
45;2;15;10;0;5;4;4;0;40;38;0;0;0
25;2;9;13;2;3;0;4;1;55;38;0;0;1
52;3;9;13;2;3;0;4;1;50;38;0;0;1
20;2;15;10;4;5;3;4;1;40;38;0;0;0
28;2;15;10;4;7;1;4;0;40;38;0;0;0
50;5;9;13;2;10;0;4;1;40;38;0;0;1
34;2;8;11;0;12;1;4;0;64;38;0;0;0
28;2;5;4;2;5;0;3;1;40;32;0;1;0
41;2;12;14;2;3;0;4;1;65;38;0;1;1
28;2;11;9;2;0;0;4;1;40;38;0;0;0
46;4;11;9;2;2;0;4;1;25;38;0;0;0
32;2;15;10;2;3;0;4;1;50;38;0;0;0
41;1;15;10;0;7;1;2;0;24;38;0;0;0
24;2;11;9;4;5;4;2;0;40;38;0;0;0
33;2;15;10;0;3;4;4;0;40;38;0;0;0
46;2;10;16;2;3;0;4;1;60;38;1;0;1
31;5;15;10;2;6;0;4;1;40;38;0;0;0
35;2;2;8;0;2;1;4;1;50;38;0;0;1
52;2;3;2;2;6;0;4;1;40;25;0;0;0
30;2;1;7;4;7;3;4;0;19;38;0;0;0
34;1;1;7;5;6;1;2;1;40;38;0;0;0
34;5;11;9;0;13;4;4;0;40;38;0;0;0
20;2;15;10;2;11;0;4;1;30;38;0;0;0
17;2;1;7;4;5;3;4;1;18;38;1;0;0
32;5;9;13;2;3;5;4;0;40;38;0;0;1
29;2;11;9;0;4;1;4;1;40;38;0;0;0
33;2;0;6;4;2;4;4;0;35;38;0;0;0
25;2;11;9;2;13;0;4;1;60;38;0;0;0
36;0;12;14;4;9;1;4;1;40;38;0;1;0
23;2;11;9;4;5;1;4;1;72;5;0;0;0
63;3;11;9;2;3;0;4;1;40;38;0;0;1
47;1;12;14;2;9;0;4;1;40;38;0;0;0
40;4;9;13;3;9;1;4;0;40;38;1;0;0
30;2;7;12;2;7;5;4;0;25;38;0;0;1
27;2;15;10;4;2;3;1;1;40;29;0;1;0
33;2;12;14;2;9;0;4;1;50;38;0;0;1
34;1;11;9;4;4;1;2;1;60;38;1;0;0
34;1;15;10;4;10;1;4;0;40;38;0;0;0
23;2;15;10;2;0;0;4;1;40;38;0;0;0
42;1;15;10;2;0;5;4;0;40;38;0;0;0
29;2;9;13;4;9;1;4;1;40;38;0;0;0
45;2;11;9;0;0;1;4;0;28;38;0;0;0
24;0;11;9;4;1;3;4;1;40;38;0;0;0
44;2;15;10;2;9;0;4;1;40;38;0;0;1
27;2;6;5;4;2;2;4;1;40;25;0;0;0
20;2;15;10;4;11;1;4;1;35;38;0;0;0
44;2;11;9;6;3;4;2;0;40;38;0;0;0
51;2;11;9;2;2;0;0;1;40;38;0;0;0
20;2;11;9;2;6;0;4;1;40;38;0;0;0
19;2;11;9;4;6;3;2;0;40;38;0;0;0
45;3;15;10;2;2;0;4;1;55;38;0;0;1
60;2;11;9;2;2;0;4;1;40;38;0;0;1
44;4;11;9;2;11;5;4;0;40;38;0;0;1
40;2;8;11;2;6;0;1;1;40;38;0;0;1
30;2;11;9;2;3;5;4;0;40;38;0;0;0
38;2;15;10;2;13;0;2;1;50;38;0;0;0
23;2;11;9;2;13;0;4;1;60;38;0;0;0
44;2;7;12;4;4;3;4;1;40;38;0;0;0
54;1;11;9;2;13;0;2;1;40;38;0;0;0
32;2;9;13;2;9;0;4;1;50;38;0;0;0
50;2;3;2;3;2;4;4;1;40;38;0;0;0
24;2;9;13;4;12;1;4;0;20;38;0;0;0
37;2;11;9;2;0;5;4;0;60;38;0;0;0
52;2;11;9;0;13;4;4;1;40;38;0;0;0
38;2;15;10;2;13;0;4;1;40;38;0;0;0
49;2;12;14;2;3;0;4;1;45;38;0;1;1
30;2;9;13;2;12;5;4;0;16;38;0;0;1
60;2;15;10;4;9;4;4;1;40;38;0;0;1
35;2;11;9;4;2;1;4;1;40;38;0;0;0
30;2;11;9;4;13;1;4;1;60;38;0;0;0
67;2;8;11;0;7;1;4;0;24;38;0;0;0
46;2;9;13;4;2;1;4;0;40;38;0;0;0
17;2;6;5;4;7;1;4;1;6;38;0;0;0
22;2;15;10;4;5;3;4;1;30;38;0;0;0
27;2;0;6;4;7;1;4;1;40;38;0;0;0
23;2;11;9;4;7;4;4;0;35;38;0;0;0
33;2;7;12;2;2;0;4;1;45;31;0;0;0
43;4;15;10;2;2;0;4;1;20;38;0;0;0
28;5;9;13;4;9;1;4;1;20;38;0;0;0
41;2;11;9;3;2;4;4;0;40;38;0;0;0
25;2;15;10;3;0;3;2;0;20;38;0;0;0
59;1;11;9;2;13;0;4;1;45;38;0;0;0
45;1;9;13;0;9;4;4;0;40;38;0;0;0
38;2;9;13;2;11;0;4;1;60;38;1;0;1
40;2;11;9;4;7;1;4;0;35;38;0;0;0
46;0;11;9;0;0;1;4;1;40;38;0;0;0
35;2;7;12;4;3;1;4;0;60;38;0;0;0
34;2;11;9;0;9;4;4;0;25;38;0;0;0
33;2;9;13;4;2;3;4;1;20;38;0;0;0
41;2;11;9;0;0;4;4;0;36;38;0;0;0
20;2;15;10;4;6;3;4;1;40;38;0;0;0
23;2;4;3;4;7;3;4;1;40;7;0;0;0
26;2;15;10;4;9;1;4;0;35;38;0;0;0
23;1;11;9;4;4;1;4;1;40;30;0;0;0
62;1;11;9;2;13;0;4;1;40;38;0;0;0
52;2;15;10;2;0;0;4;1;40;38;0;0;0
58;2;15;10;0;7;4;4;0;42;9;0;0;0
25;2;9;13;4;11;1;4;0;40;38;0;0;0
24;2;9;13;4;3;1;2;1;40;38;0;0;0
19;2;15;10;4;10;3;4;1;8;38;0;0;0
43;2;15;10;2;3;0;4;1;40;38;0;0;0
47;1;11;9;5;0;4;2;0;40;38;0;0;0
39;2;11;9;0;7;4;4;0;40;38;0;0;0
49;2;8;11;3;5;4;4;1;42;38;0;1;0
32;2;8;11;4;2;1;4;1;45;38;0;0;0
34;2;15;10;2;9;0;4;1;50;38;0;0;1
28;2;11;9;0;2;1;4;1;45;38;0;0;0
25;2;15;10;4;0;1;0;0;20;38;0;0;0
34;2;9;13;2;9;0;4;1;50;38;0;0;1
38;3;9;13;2;3;0;4;1;80;38;1;0;1
50;2;11;9;2;3;0;4;1;50;38;1;0;1
24;1;15;10;0;5;1;2;1;50;38;0;0;0
37;1;15;10;2;12;0;4;1;45;38;0;0;1
44;2;15;10;0;6;4;4;1;58;38;0;0;1
28;2;15;10;2;11;5;4;0;40;38;0;0;0
42;2;9;13;2;3;0;4;1;40;38;0;0;1
74;2;15;10;0;0;1;4;0;9;38;0;0;0
38;4;11;9;2;2;0;4;1;50;38;0;0;0
44;4;12;14;2;9;0;4;1;40;38;0;0;0
44;2;1;7;0;6;4;3;0;46;32;0;0;0
26;2;11;9;4;6;1;4;1;40;38;0;0;0
36;2;11;9;2;7;0;2;1;40;38;0;0;0
41;2;7;12;2;3;5;4;0;50;38;0;0;1
67;2;14;15;2;9;0;4;1;48;38;1;0;1
39;1;2;8;2;12;0;4;1;50;38;0;0;0
57;2;3;2;6;8;1;2;0;30;38;0;0;0
29;2;8;11;5;2;1;4;1;40;38;0;0;0
